checkpoint_id,eval_task_id,k_value,accuracy,loss,num_adapt_steps,adapt_lr,num_examples_used
der_seq-cifar100_5,3,10,76.3,0.03453082102537155,5,0.01,128
der_seq-cifar100_5,4,0,58.9,0.08308899426460266,0,,0
der_seq-cifar100_5,4,1,69.69999999999999,0.0479686034321785,5,0.01,10
der_seq-cifar100_5,4,2,68.30000000000001,0.0488757615685463,5,0.01,20
der_seq-cifar100_5,4,5,76.6,0.03401605504751205,5,0.01,64
der_seq-cifar100_5,4,10,73.8,0.04333081120252609,5,0.01,128
der_seq-cifar100_5,5,0,85.0,0.0174185748398304,0,,0
der_seq-cifar100_5,5,1,85.8,0.017010432988405228,5,0.01,10
der_seq-cifar100_5,5,2,87.0,0.016062333524227142,5,0.01,20
der_seq-cifar100_5,5,5,88.9,0.013628578543663025,5,0.01,64
der_seq-cifar100_5,5,10,88.1,0.01628732869029045,5,0.01,128
der_seq-cifar100_5,6,0,0.0,0.2515545840263367,0,,0
der_seq-cifar100_5,6,1,1.5,0.1825903148651123,5,0.01,10
der_seq-cifar100_5,6,2,2.0,0.17902561044692994,5,0.01,20
der_seq-cifar100_5,6,5,4.3999999999999995,0.13646139216423034,5,0.01,64
der_seq-cifar100_5,6,10,14.399999999999999,0.09624843454360962,5,0.01,128
der_seq-cifar100_5,7,0,0.0,0.2531233739852905,0,,0
der_seq-cifar100_5,7,1,0.1,0.18772338819503784,5,0.01,10
der_seq-cifar100_5,7,2,0.1,0.17770853185653687,5,0.01,20
der_seq-cifar100_5,7,5,4.6,0.14060083079338073,5,0.01,64
der_seq-cifar100_5,7,10,12.3,0.10158186888694763,5,0.01,128
der_seq-cifar100_5,8,0,0.0,0.24661023998260498,0,,0
der_seq-cifar100_5,8,1,0.2,0.1851811890602112,5,0.01,10
der_seq-cifar100_5,8,2,0.6,0.17555592393875122,5,0.01,20
der_seq-cifar100_5,8,5,2.7,0.13934133720397948,5,0.01,64
der_seq-cifar100_5,8,10,8.7,0.10160864639282227,5,0.01,128
der_seq-cifar100_5,9,0,0.0,0.2583322377204895,0,,0
